ID_HECHOS_LESIONES,N_VICTIMAS,AAAA,FECHA,HORA,comuna,tipo_calle,geocodificacion_CABA,longitud,latutid,victima,acusado,participantes,gravedad
LC-2021-0137640,10,2021,2021-03-26 00:00:00,12.0,9,CALLE,Point (96444.1624950978 95607.1692198392),-58.502096288746,-34.668862207503,TRANSPORTE PUBLICO,CAMIONETA,TRANSPORTE PUBLICO-CAMIONETA,GRAVE
LC-2021-0139205,1,2021,2021-03-27 00:00:00,11.0,5,AVENIDA,Point (104023.358345486 100895.226410012),-58.419427844853,-34.621192428121,,,SD-SD,GRAVE
LC-2021-0139369,1,2021,2021-03-27 00:00:00,11.0,12,CALLE,Point (97608.8702425925 108884.670299081),-58.489350413223,-34.549176735513,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0140495,1,2021,2021-03-27 00:00:00,11.0,15,AVENIDA,Point (101245.722872261 103955.804146428),-58.449720336277,-34.593610081880,PEATON,TAXI,PEATON-TAXI,GRAVE
LC-2021-0142273,1,2021,2021-03-29 00:00:00,0.0,,,,,,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0145057,1,2021,2021-03-30 00:00:00,17.0,13,GRAL PAZ,Point (98817.74986778 110096.313674954),-58.476178020985,-34.538256524689,,,SD-SD,GRAVE
LC-2021-0145376,1,2021,2021-03-30 00:00:00,21.0,8,CALLE,Point (97059.2360305947 94648.6010382435),-58.495388892083,-34.677505032162,PEATON,,PEATON-SD,GRAVE
LC-2021-0148293,1,2021,2021-04-01 00:00:00,0.0,,,,,,CICLISTA,AUTO,CICLISTA-AUTO,GRAVE
LC-2021-0148903,1,2021,2021-04-02 00:00:00,5.0,,,,,,MOTO,OBJETO FIJO,MOTO-OBJETO FIJO,GRAVE
LC-2021-0150355,1,2021,2021-04-03 00:00:00,12.0,7,CALLE,Point (102249.519696222 99473.8967261517),-58.438766650880,-34.634010173947,MOTO,AUTO,MOTO-AUTO,GRAVE
LC-2021-0150454,1,2021,2021-04-03 00:00:00,14.0,4,AVENIDA,Point (103849.096180648 98599.7609001094),-58.421317779098,-34.641885288452,TRANSPORTE PUBLICO,AUTO,TRANSPORTE PUBLICO-AUTO,GRAVE
LC-2021-0152297,1,2021,2021-04-05 00:00:00,9.0,6,CALLE,Point (101581.995597521 100376.372154768),-58.446048285626,-34.625876123788,CICLISTA,AUTO,CICLISTA-AUTO,GRAVE
