ID_HECHOS_FATALES,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,FECHA_FALLECIMIENTO
2017-0014,PASAJERO_ACOMPAÑANTE,FEMENINO,22,2017-01-28 00:00:00
2017-0015,PEATON,MASCULINO,82,2017-02-21 00:00:00
2017-0016,CONDUCTOR,MASCULINO,27,2017-02-04 00:00:00
2017-0017,CONDUCTOR,MASCULINO,32,2017-02-06 00:00:00
2017-0018,CONDUCTOR,MASCULINO,30,2017-02-09 00:00:00
2017-0021,CONDUCTOR,MASCULINO,43,2017-02-18 00:00:00
2017-0024,PEATON,MASCULINO,39,2017-02-23 00:00:00
2017-0025,CONDUCTOR,MASCULINO,23,2017-02-24 00:00:00
2017-0026,PASAJERO_ACOMPAÑANTE,FEMENINO,23,2017-02-26 00:00:00
2017-0026,CONDUCTOR,MASCULINO,19,2017-02-26 00:00:00
2017-0027,PEATON,MASCULINO,SD,2017-02-26 00:00:00
2017-0028,PEATON,MASCULINO,87,2017-02-28 00:00:00
2017-0029,SD,MASCULINO,34,2017-03-07 00:00:00
2017-0030,CONDUCTOR,FEMENINO,27,2017-03-07 00:00:00
2017-0031,PASAJERO_ACOMPAÑANTE,MASCULINO,70,2017-03-11 00:00:00
2017-0032,PASAJERO_ACOMPAÑANTE,FEMENINO,40,2017-03-12 00:00:00
2017-0033,CONDUCTOR,MASCULINO,28,2017-03-12 00:00:00
2017-0034,PEATON,MASCULINO,43,2017-03-13 00:00:00
2017-0035,CONDUCTOR,MASCULINO,28,2017-03-23 00:00:00
2017-0035,PASAJERO_ACOMPAÑANTE,MASCULINO,32,2017-03-23 00:00:00
2017-0035,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2017-03-23 00:00:00
2017-0036,PASAJERO_ACOMPAÑANTE,FEMENINO,SD,2017-03-29 00:00:00
2017-0036,CONDUCTOR,MASCULINO,20,2017-03-29 00:00:00
2017-0037,CONDUCTOR,MASCULINO,41,2017-03-31 00:00:00
2017-0038,CONDUCTOR,FEMENINO,40,2017-04-01 00:00:00
2017-0040,CONDUCTOR,MASCULINO,43,2017-04-03 00:00:00
2017-0041,CONDUCTOR,MASCULINO,17,SD
2017-0042,CONDUCTOR,MASCULINO,SD,2017-04-10 00:00:00
2017-0045,CONDUCTOR,MASCULINO,21,2017-04-14 00:00:00
2017-0047,CONDUCTOR,MASCULINO,37,2017-04-23 00:00:00
2017-0049,PEATON,MASCULINO,22,2017-04-27 00:00:00
2017-0050,CONDUCTOR,MASCULINO,46,2017-04-28 00:00:00
2017-0050,PASAJERO_ACOMPAÑANTE,MASCULINO,16,2017-04-28 00:00:00
2017-0051,CONDUCTOR,MASCULINO,33,2017-05-01 00:00:00
2017-0052,PEATON,FEMENINO,47,2017-05-05 00:00:00
2017-0053,CONDUCTOR,MASCULINO,28,2017-05-05 00:00:00
2017-0054,PASAJERO_ACOMPAÑANTE,FEMENINO,20,2017-05-07 00:00:00
2017-0055,CONDUCTOR,MASCULINO,32,2017-05-09 00:00:00
2017-0058,PEATON,MASCULINO,80,2017-05-09 00:00:00
2017-0059,PEATON,FEMENINO,39,2017-05-11 00:00:00
2017-0060,PASAJERO_ACOMPAÑANTE,MASCULINO,30,2017-05-13 00:00:00
2017-0061,PEATON,MASCULINO,47,2017-05-16 00:00:00
2017-0062,CONDUCTOR,MASCULINO,35,2017-05-15 00:00:00
2017-0063,PEATON,FEMENINO,79,2017-05-17 00:00:00
2017-0064,PASAJERO_ACOMPAÑANTE,MASCULINO,61,2017-05-20 00:00:00
2017-0065,CICLISTA,MASCULINO,21,2017-05-22 00:00:00
2017-0066,PEATON,MASCULINO,10,2017-05-22 00:00:00
2017-0067,CONDUCTOR,MASCULINO,21,2017-05-23 00:00:00
2017-0068,CONDUCTOR,MASCULINO,32,2017-05-27 00:00:00
2017-0069,CONDUCTOR,MASCULINO,39,2017-05-29 00:00:00
2017-0070,PEATON,MASCULINO,80,2017-05-31 00:00:00
2017-0072,CONDUCTOR,MASCULINO,25,2017-06-03 00:00:00
2017-0073,CONDUCTOR,MASCULINO,19,2017-06-04 00:00:00
2017-0074,SD,MASCULINO,70,2017-06-04 00:00:00
2017-0075,PEATON,MASCULINO,55,2017-06-12 00:00:00
2017-0076,PEATON,FEMENINO,30,2017-06-13 00:00:00
2017-0077,CONDUCTOR,FEMENINO,60,2017-06-18 00:00:00
2017-0079,CONDUCTOR,MASCULINO,33,2017-06-19 00:00:00
